SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-181a*	0	85.9304	6.85276	1
hsa-miR-181a-2*	0	92.589	6.84633	1
hsa-miR-181b	0	174.708	13.3321	1
hsa-miR-181c	0	288.472	22.1519	1
hsa-miR-181c*	0	208.814	14.1492	1
hsa-miR-181d	0	409.066	31.6438	1
hsa-miR-182	0	4.41982	1.79906	1
hsa-miR-182*	0	0.228777	1.71285	0
hsa-miR-183	0	2.50961	1.72923	0
hsa-miR-183*	0	-2.87525	1.71064	0
hsa-miR-184	0	-0.0298016	2.42052	0
hsa-miR-185	0	12116.6	982.187	1
hsa-miR-185*	0	0.323568	1.71798	0
hsa-miR-186	0	642.181	49.153	1
hsa-miR-186*	0	18.3532	2.08559	1
hsa-miR-187	0	-2.39307	1.7114	0
hsa-miR-187*	0	-4.25855	1.71037	0
hsa-miR-188-3p	0	1.34889	1.73036	0
hsa-miR-188-5p	0	12.6971	2.59589	1
hsa-miR-18a	0	2504.93	206.396	1
hsa-miR-18a*	0	2.07998	1.72797	0
hsa-miR-18b	0	958.537	83.2757	1
hsa-miR-18b*	0	1.91042	1.71991	0
hsa-miR-190	0	2.30275	2.43444	0
hsa-miR-190b	0	-1.06688	1.71433	0
hsa-miR-191	0	21.8968	2.40394	1
hsa-miR-191*	0	9.0582	1.78	1
hsa-miR-192	0	305.793	24.8818	1
hsa-miR-192*	0	1.33175	2.42845	0
hsa-miR-193a-3p	0	12.5468	2.67974	1
hsa-miR-193a-5p	0	-1.47382	2.42027	0
hsa-miR-193b	0	1.2416	2.42855	0
hsa-miR-193b*	0	-2.69275	1.71061	0
hsa-miR-194	0	137.686	11.5953	1
hsa-miR-194*	0	0.745227	1.72085	0
hsa-miR-195	0	470.228	41.6626	1
hsa-miR-195*	0	2.2726	1.71974	0
hsa-miR-196a	0	2.92281	2.4355	0
hsa-miR-196a*	0	-3.10345	1.71054	0
hsa-miR-196b	0	113.296	9.68404	1
hsa-miR-197	0	3935.9	303.975	1
hsa-miR-198	0	-1.81262	2.42015	0
hsa-miR-199a-5p	0	9806.74	893.724	1
hsa-miR-199b-3p	0	39198	2914.89	1
hsa-miR-199b-5p	0	80.2395	7.59867	1
hsa-miR-19a	0	14217.6	1079.65	1
hsa-miR-19a*	0	1.36116	1.72661	0
hsa-miR-19b	0	38849.1	3469.93	1
hsa-miR-19b-1*	0	114.42	10.6599	1
hsa-miR-19b-2*	0	0.442817	1.71355	0
hsa-miR-200a	0	17.9416	2.84588	1
hsa-miR-200a*	0	-1.47122	1.98797	0
hsa-miR-200b	0	94.0568	8.59151	1
hsa-miR-200b*	0	-0.185076	1.71915	0
hsa-miR-200c	0	228.703	22.2776	1
hsa-miR-200c*	0	-1.55788	1.71177	0
hsa-miR-202	0	-2.0864	2.41894	0
hsa-miR-202*	0	1.01369	2.42294	0
hsa-miR-203	0	0.58759	2.42743	0
hsa-miR-204	0	41.0031	4.26571	1
hsa-miR-205	0	-0.356903	2.43174	0
hsa-miR-206	0	0.227931	2.42298	0
hsa-miR-208a	0	-1.80861	2.41901	0
hsa-miR-208b	0	-3.09374	2.41886	0
hsa-miR-20a	0	33636.9	2506.16	1
hsa-miR-20a*	0	259.137	22.9163	1
hsa-miR-20b	0	4006.84	338.413	1
hsa-miR-20b*	0	-0.693886	1.71405	0
hsa-miR-21	0	154707	11500	1
hsa-miR-21*	0	212.402	18.7235	1
