"ID"	"miRNA_ID"	"SPOT_ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"hsa-miR-323-3p"	"hsa-miR-323-3p"	"hsa-miR-323-3p"	""	-6.76436319046154	-6.76436319046154	-22.8875247076801	7.71877143731713e-13	1.70430473335962e-12	19.8018979819859
"hsa-miR-125a-5p"	"hsa-miR-125a-5p"	"hsa-miR-125a-5p"	""	1.36235335472222	1.36235335472222	16.7424620851528	4.55260092152811e-13	1.03844450772046e-12	19.7737825029675
"hsa-miR-26b"	"hsa-miR-26b"	"hsa-miR-26b"	""	1.343467324	1.343467324	16.566958082044	5.5240936570158e-13	1.24971299125931e-12	19.5733680700748
"hsa-miR-363"	"hsa-miR-363"	"hsa-miR-363"	""	-2.18834240844444	-2.18834240844444	-16.5046616506796	5.91922741641709e-13	1.31750545720251e-12	19.5017760925531
"hsa-miR-550"	"hsa-miR-550"	"hsa-miR-550"	""	-7.6920294033	-7.6920294033	-29.663885281661	2.72487927366012e-12	5.61243790694174e-12	18.8222931677788
"hsa-miR-181c"	"hsa-miR-181c"	"hsa-miR-181c"	""	-2.5363099105	-2.5363099105	-15.8941199670737	1.17938098020579e-12	2.5630641774551e-12	18.787217393392
"hsa-miR-602"	"hsa-miR-602"	"hsa-miR-602"	""	-7.09860015954546	-7.09860015954545	-25.6443119504515	3.03623392799038e-12	6.16176885386283e-12	18.6327061523196
"hsa-miR-379"	"hsa-miR-379"	"hsa-miR-379"	""	-5.84664806592308	-5.84664806592308	-20.8800691990378	2.83716396263486e-12	5.80042410138682e-12	18.459424214439
"hsa-miR-582-5p"	"hsa-miR-582-5p"	"hsa-miR-582-5p"	""	-3.70730459744445	-3.70730459744444	-15.5473312331861	1.76263936668199e-12	3.80069113440804e-12	18.3705642080958
"hsa-miR-26a-2*"	"hsa-miR-26a-2*"	"hsa-miR-26a-2*"	""	-8.588082569	-8.588082569	-58.4114678440907	1.81319753753635e-12	3.87939938263591e-12	18.2957112454529
