	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1651567	140.6598	148.5029	127.5091	130.0587	145.2419
ILMN_1651568	316.8491	255.9937	429.4455	125.1658	126.1932
ILMN_1651569	576.7972	598.2448	839.8649	136.5908	141.6342
ILMN_1651574	135.7567	137.1417	157.6762	139.3465	125.8164
ILMN_1651576	142.2839	156.7376	158.5453	122.6241	109.867
ILMN_1651582	122.7152	134.0931	118.9833	127.8735	127.1196
ILMN_1651584	111.8556	120.2292	120.7413	117.4986	114.6939
ILMN_1651597	121.0561	119.9269	125.94	117.9323	109.9125
ILMN_1651599	134.1483	146.8924	125.9469	125.5311	129.7889
ILMN_1651604	293.3143	416.4565	494.5403	143.7384	148.5551
ILMN_1651606	127.501	120.8694	128.4379	141.2007	135.8916
ILMN_1651608	578.6456	432.4221	552.2708	118.9283	135.8983
ILMN_1651609	932.421	923.5126	863.2386	143.9442	125.8806
ILMN_1651610	143.1863	125.0926	124.2656	982.1279	1428.175
ILMN_1651617	140.7878	129.5159	125.2957	124.37	124.7744
ILMN_1651624	113.1918	105.2571	114.0118	115.8484	111.7974
ILMN_1651628	175.7646	168.0871	225.4238	188.0297	192.6349
ILMN_1651636	160.8874	160.1982	142.8411	156.57	148.9096
ILMN_1651637	126.0888	130.3241	120.6414	115.4972	115.567
ILMN_1651641	120.5897	113.5576	115.4912	110.0835	126.0074
ILMN_1651642	1493.647	1798.153	1971.106	1202.571	1700.784
ILMN_1651643	136.9606	145.0922	137.2185	124.4572	152.7018
ILMN_1651652	278.2491	248.0564	297.1829	113.8929	128.9504
ILMN_1651656	111.7102	107.659	105.6039	113.0228	111.3316
ILMN_1651657	119.3176	124.2121	131.7236	114.0494	128.281
ILMN_1651660	146.015	152.878	142.5856	127.4739	147.2699
ILMN_1651662	135.4996	121.2704	120.3623	111.8929	113.414
ILMN_1651664	207.5544	259.3139	256.442	120.0766	128.4464
ILMN_1651672	130.7533	127.5175	140.3416	128.7555	146.7653
ILMN_1651680	140.1115	131.7912	133.9244	26895.87	28287.42
ILMN_1651681	514.8431	578.0156	408.5453	138.2261	126.5739
ILMN_1651684	118.5809	140.4031	115.3112	232.8638	276.0958
ILMN_1651685	110.8977	121.2374	105.5991	106.1813	113.1415
ILMN_1651690	153.8678	123.2307	123.0559	124.5578	121.5882
ILMN_1651692	168.03	143.1212	176.9793	223.5154	186.4398
ILMN_1651693	123.5444	149.9001	168.1465	126.3494	135.9789
ILMN_1651699	117.8946	125.0724	128.1743	135.5543	156.299
ILMN_1651705	334.9958	339.7671	211.0662	350.0655	527.4169
ILMN_1651708	124.9042	116.2372	128.602	129.2991	119.9195
ILMN_1651710	698.9741	692.535	380.0606	128.6403	136.2338
ILMN_1651711	128.5115	121.6984	117.4156	131.9603	119.0706
ILMN_1651712	3842.639	4388.07	4229.165	128.4025	125.5169
ILMN_1651715	206.2837	193.6946	197.3565	131.5133	127.6405
ILMN_1651717	102.5674	133.0521	122.7625	117.2029	134.6718
ILMN_1651719	158.267	149.8212	137.2467	1024.347	1198.397
ILMN_1651727	104.7488	143.1358	117.002	121.0644	121.3303
ILMN_1651735	135.2917	143.9157	154.0246	575.8797	721.3525
ILMN_1651737	429.2692	451.3158	346.7711	126.4103	145.3904
ILMN_1651741	122.3474	135.7749	151.7035	138.1237	133.8604
ILMN_1651745	122.1113	119.2311	112.6725	148.29	154.1303
ILMN_1651752	140.0245	126.9046	136.3138	159.7841	133.4528
ILMN_1651758	129.2833	145.7949	127.1604	126.7132	121.2302
ILMN_1651760	12856.02	13125.02	6989.733	116.6524	124.2675
