	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1776480	122.6305	123.8114	116.7904	125.5778	119.3723
ILMN_1776483	122.3097	117.5838	117.7015	152.8689	150.6029
ILMN_1776487	187.3029	139.4874	160.7544	318.6643	351.3781
ILMN_1776490	1013.323	1271.576	1288.331	1214.259	1053.227
ILMN_1776493	111.0992	109.0254	114.3365	117.9493	119.3696
ILMN_1776515	696.8553	644.6046	454.0373	430.2057	442.6059
ILMN_1776516	1166.187	1256.347	1858.641	182.8947	173.4478
ILMN_1776519	213.9651	153.3346	135.9945	659.8203	548.3285
ILMN_1776522	139.9183	139.0086	160.3687	1401.65	1014.258
ILMN_1776523	131.3748	130.267	145.2105	118.2441	118.5584
ILMN_1776524	116.311	134.2946	145.605	140.1392	150.1864
ILMN_1776527	118.9503	133.2194	118.3528	127.7774	151.818
ILMN_1776535	112.1516	143.6831	123.432	159.4334	134.6309
ILMN_1776542	732.5423	883.3714	1266.651	135.6569	163.4519
ILMN_1776552	303.1773	307.425	245.8689	227.1508	275.8108
ILMN_1776566	130.8473	138.7859	163.5794	153.5704	167.8221
ILMN_1776569	143.207	122.9646	128.6792	117.3603	134.842
ILMN_1776571	137.5531	136.3429	168.4443	122.3689	137.5833
ILMN_1776574	115.0543	117.1397	121.2821	137.5136	134.8283
ILMN_1776576	121.5412	133.0347	124.3631	118.7219	120.2338
ILMN_1776577	876.937	908.6418	577.4255	553.6542	763.84
ILMN_1776582	119.6034	160.8874	134.9555	506.3253	521.9064
ILMN_1776586	26656.72	27051.91	24541.04	1103.684	922.5165
ILMN_1776596	142.6295	138.8167	124.7262	122.9534	136.3356
ILMN_1776598	122.7986	121.8356	117.06	298.1458	183.6227
ILMN_1776601	118.7816	119.3723	121.215	120.5928	117.2316
ILMN_1776602	119.5782	119.4733	140.9744	125.9479	135.4282
ILMN_1776631	141.1691	114.82	120.1047	203.368	167.0576
ILMN_1776640	176.5936	199.0083	188.2822	132.2274	127.6296
ILMN_1776649	109.0393	106.0962	119.1037	122.1471	130.6046
ILMN_1776653	146.6581	123.7969	117.5504	163.8432	146.6404
ILMN_1776656	167.8732	175.028	142.9985	142.7093	136.1386
ILMN_1776659	138.725	117.7321	117.7278	165.5727	143.8546
ILMN_1776666	122.5095	122.3832	118.1806	125.5293	117.3084
ILMN_1776674	1339.612	969.8411	599.2849	2192.571	1089.205
ILMN_1776678	110.5863	125.2799	128.8176	124.7955	132.7444
ILMN_1776679	1927.427	2046.555	2808.307	121.6683	116.8829
ILMN_1776685	124.5418	120.0281	118.4987	142.4987	129.295
ILMN_1776703	141.1512	136.4322	151.0384	148.9733	173.2463
ILMN_1776706	128.5369	119.5412	126.9489	117.1852	122.0428
ILMN_1776709	157.3374	160.5134	205.8612	130.7986	128.0376
ILMN_1776713	127.6223	160.9954	122.9478	133.4003	123.5371
ILMN_1776716	121.5802	122.1172	134.2309	114.3281	113.7955
ILMN_1776723	320.2079	430.4899	316.0844	402.4693	596.0965
ILMN_1776724	122.214	128.7047	119.5215	165.3311	205.8059
ILMN_1776777	3118.57	3179.427	1945.181	2244.64	3111.605
ILMN_1776778	332.1887	292.8245	375.843	123.0943	108.4872
ILMN_1776788	161.145	143.804	131.7348	122.0707	147.2184
ILMN_1776818	127.6117	116.4409	137.5944	144.8602	129.6761
ILMN_1776822	117.6631	122.322	115.7831	117.7439	125.6384
ILMN_1776826	137.8457	118.0528	121.6347	124.9613	134.0279
ILMN_1776838	2707.466	3530.006	1958.957	121.4884	124.7975
ILMN_1776842	115.1603	118.4876	121.7478	105.9577	121.6895
ILMN_1776845	136.8939	113.5151	126.5756	145.5391	121.5269
ILMN_1776846	122.6707	120.026	128.6193	113.0954	107.0788
ILMN_1776848	182.0026	174.4074	218.2184	128.3923	128.0735
ILMN_1776850	1261.285	930.8555	719.987	3610.376	2054.7
ILMN_1776852	1148.667	901.127	934.0449	129.6737	122.9109
ILMN_1776857	119.0926	140.6384	127.1139	162.4729	143.6594
ILMN_1776858	225.979	236.8261	186.9934	203.2425	258.8442
ILMN_1776861	167.1536	160.8979	149.8917	136.517	162.3567
ILMN_1776870	114.7891	118.414	133.998	146.0293	121.6487
ILMN_1776879	8890.97	9517.438	3424.172	361.0887	333.7602
ILMN_1776887	127.2645	112.2145	119.8715	106.4857	121.0533
ILMN_1776888	279.0355	224.5265	528.4235	126.0403	109.2709
ILMN_1776905	122.4	114.8339	118.9692	120.717	117.8716
ILMN_1776906	131.1536	125.4079	149.4989	122.0209	123.9014
ILMN_1776915	118.7857	119.7251	130.1486	124.4003	117.4928
ILMN_1776916	117.6396	110.0484	119.4733	114.0215	106.6852
ILMN_1776925	118.1262	122.8165	117.6291	142.6719	123.1503
ILMN_1776936	160.1282	143.8754	196.6782	143.7525	193.0422
ILMN_1776939	131.4652	124.2961	137.883	112.1846	116.9976
ILMN_1776953	4429.794	4036.684	8804.349	1868.623	2023.472
ILMN_1776956	129.7428	150.9926	186.2506	126.0085	135.8499
ILMN_1776963	321.2994	354.9446	314.8881	430.5638	297.1829
ILMN_1776967	233.0016	260.3083	286.3137	131.301	153.9685
ILMN_1776975	135.3753	125.9164	146.2618	129.5272	120.9693
ILMN_1776986	119.1729	119.4609	120.6903	126.9288	134.2084
ILMN_1776993	484.7747	589.7023	574.2631	543.2252	586.7417
ILMN_1776995	123.5398	143.5586	149.9178	117.9344	117.4525
ILMN_1776998	227.6254	135.3753	162.5894	137.3732	169.4667
ILMN_1777017	123.5104	108.2776	110.4409	136.1655	143.8669
ILMN_1777024	146.5996	124.6568	133.2625	127.3073	135.0133
ILMN_1777031	331.1011	267.9883	441.4762	123.7182	99.25453
ILMN_1777040	112.3791	135.5808	127.2097	132.2936	138.6265
ILMN_1777046	124.8196	124.5661	121.4557	192.4305	198.9108
ILMN_1777049	163.7502	155.4634	191.0499	258.5451	226.2712
ILMN_1777058	789.0275	1134.176	754.0054	809.593	732.7153
ILMN_1777060	306.8214	261.7616	156.926	213.284	210.0061
ILMN_1777061	245.8042	234.3729	293.0743	278.8835	348.1964
ILMN_1777066	145.0865	139.6724	150.0029	2340.953	2202.874
ILMN_1777074	106.648	113.0879	108.6591	108.9464	114.1501
ILMN_1777084	115.5442	114.1007	113.2508	109.4964	109.994
ILMN_1777096	353.3217	349.752	385.0459	1284.13	1531.483
ILMN_1777106	105.8917	112.8765	115.3407	160.5836	236.5473
ILMN_1777113	115.9028	104.9013	115.7659	244.0546	190.0495
ILMN_1777118	187.2223	128.1304	133.071	1100.382	921.6364
ILMN_1777121	545.0369	684.6542	686.8514	128.1334	112.7946
ILMN_1777129	783.1549	771.3116	1098.325	1040.442	799.6824
ILMN_1777139	293.2722	320.7754	235.3796	301.9286	238.492
ILMN_1777156	302.8049	266.2612	384.0691	292.3152	287.6703
ILMN_1777161	216.9941	255.609	242.5727	146.9403	136.1608
ILMN_1777164	118.6356	118.4636	113.357	115.0937	128.2634
ILMN_1777168	195.3169	171.6416	194.2677	179.8038	144.7131
ILMN_1777170	25738.24	24025.64	25191.56	718.1975	484.9673
ILMN_1777180	123.3851	125.5047	119.0203	122.4967	130.7239
ILMN_1777182	108.518	112.7477	127.8291	114.3256	109.8116
ILMN_1777190	320.9719	304.8591	464.0482	279.4893	165.8112
ILMN_1777194	131.3571	153.8016	138.6654	128.7605	123.7629
ILMN_1777195	114.4496	115.9028	126.113	161.7463	154.6757
ILMN_1777199	108.5615	108.2372	131.0174	119.9667	113.6444
ILMN_1777214	115.9961	127.6784	124.9538	127.0133	132.0919
ILMN_1777220	934.6584	942.1969	615.4756	1866.779	1731.607
ILMN_1777221	167.4388	169.0777	141.0746	170.1307	161.6071
ILMN_1777233	470.8291	599.7955	681.7982	665.2719	692.9977
ILMN_1777245	144.7544	125.2479	129.0553	127.0462	126.1653
ILMN_1777248	113.4482	121.1573	140.4721	110.6247	117.9108
ILMN_1777250	117.6929	114.8875	124.2399	114.9855	114.3401
ILMN_1777251	243.3713	193.57	159.8747	126.3905	133.1622
ILMN_1777260	120.289	118.6776	121.9483	112.302	115.6766
ILMN_1777261	355.88	388.179	272.914	312.6276	415.7212
ILMN_1777263	107.2837	105.681	126.4206	118.2202	133.6376
ILMN_1777278	4159.713	5164.286	3704.812	125.1529	126.6235
ILMN_1777286	120.4334	120.8135	134.1915	228.7892	205.0993
ILMN_1777296	28833.97	30398.77	25968.91	29792.09	30476.41
ILMN_1777299	166.2245	117.5348	181.0011	140.1412	144.8729
ILMN_1777301	106.4212	108.5063	122.4847	110.1025	101.9736
ILMN_1777312	119.4619	136.8779	135.99	126.564	122.6989
ILMN_1777314	171.1049	154.3688	126.2868	153.2187	187.8437
ILMN_1777318	132.8228	120.2003	126.711	113.1862	118.715
ILMN_1777322	169.6619	172.4653	134.1943	133.5287	145.5431
ILMN_1777325	281.7094	235.4432	158.5665	492.5071	660.9435
ILMN_1777332	120.5596	114.6332	110.397	120.9484	125.94
ILMN_1777333	138.2274	117.9943	136.9993	132.1143	114.7457
ILMN_1777339	119.3678	108.1187	118.2891	125.1566	124.3485
ILMN_1777340	151.2317	165.2617	129.3943	142.0405	127.1693
ILMN_1777342	266.3007	194.216	263.3855	226.2485	237.2041
ILMN_1777343	124.5608	123.193	124.6109	135.9945	105.2045
ILMN_1777344	25318.26	24312.71	22028.95	24586.04	29374.1
ILMN_1777347	130.4695	123.9058	124.7561	158.2546	120.4926
ILMN_1777359	123.9237	119.8806	111.8362	133.1759	119.464
ILMN_1777362	120.0505	143.7733	118.5622	182.353	180.8607
ILMN_1777366	148.4593	115.7541	117.4811	137.1366	192.2986
ILMN_1777378	5902.709	6324.237	6436.263	6653.411	6868.151
ILMN_1777397	110.4518	136.206	117.7397	979.4697	1069.42
ILMN_1777405	109.4964	111.4219	125.7198	116.9664	114.4336
ILMN_1777411	224.1789	165.0276	121.2565	279.8197	433.9916
ILMN_1777424	113.1254	140.9133	122.0537	115.3035	132.3569
ILMN_1777437	163.8609	211.3779	211.7017	174.2758	191.29
ILMN_1777439	115.1666	123.4063	111.4258	112.3569	112.819
ILMN_1777444	446.8624	461.536	347.1193	319.8273	299.0818
ILMN_1777446	125.8411	141.2606	118.5732	136.3556	136.9131
ILMN_1777449	324.565	343.6253	233.4097	209.8126	260.9863
ILMN_1777453	122.5636	117.7257	127.3827	182.0148	146.2362
ILMN_1777457	114.5673	112.7786	131.3238	137.8945	115.7716
ILMN_1777461	123.2671	117.2452	120.4205	128.8232	120.5506
ILMN_1777476	126.3601	135.885	120.4156	120.9555	123.4976
ILMN_1777477	123.515	137.0116	147.2146	122.2555	145.9599
ILMN_1777479	143.657	200.6431	120.6894	126.3512	127.8047
ILMN_1777483	200.4844	159.2741	159.3799	203.5163	193.6036
ILMN_1777487	163.3449	168.867	152.3642	280.7532	273.8759
ILMN_1777491	126.3747	137.801	133.1403	117.6149	125.5141
ILMN_1777499	117.8842	143.6473	120.7474	246.513	215.6357
ILMN_1777513	128.4408	110.6223	121.3087	178.6521	150.6393
ILMN_1777519	135.4555	121.3693	145.7845	148.0789	130.8385
ILMN_1777521	120.0852	113.0941	134.5355	105.3592	110.419
ILMN_1777523	125.06	115.4641	108.5943	131.2208	114.6408
ILMN_1777526	119.1621	113.7345	124.8169	1960.734	1712.505
ILMN_1777528	114.0175	116.1507	123.6299	769.1791	909.3586
ILMN_1777537	121.6661	136.3409	119.8795	133.2219	135.7749
ILMN_1777539	120.7187	117.3314	146.7989	123.1987	110.3461
ILMN_1777541	143.0335	145.3782	130.5852	137.7856	133.6476
ILMN_1777550	117.8543	129.6945	120.5877	126.6283	123.0055
ILMN_1777555	115.2624	125.4051	108.8407	117.2209	116.3563
ILMN_1777556	120.4008	121.8208	119.5508	133.319	109.1075
ILMN_1777562	129.8961	117.5525	112.7889	122.6434	124.9268
ILMN_1777564	260.9863	222.3921	371.2436	1856.646	2050.876
ILMN_1777565	474.4199	501.5951	497.6929	114.2357	119.9834
ILMN_1777579	115.2511	123.1996	116.0791	123.09	129.5757
ILMN_1777584	177.9242	176.6606	160.2646	1161.476	1261.785
ILMN_1777591	133.3635	143.8784	164.2277	145.2208	176.0621
ILMN_1777608	127.4473	115.7435	129.1676	122.7353	132.568
ILMN_1777614	138.9555	122.1597	128.0185	134.3137	155.1685
ILMN_1777637	109.4322	168.3089	136.7397	114.003	107.8031
ILMN_1777638	123.3097	121.0073	111.4646	130.9039	123.4837
ILMN_1777644	400.0282	438.7242	810.627	305.6217	223.4459
ILMN_1777650	132.199	123.4245	140.1211	209.9338	178.3712
ILMN_1777657	109.5231	107.6565	104.3418	132.6391	118.0346
ILMN_1777658	752.5081	1029.803	941.1103	110.7879	115.648
ILMN_1777660	239.5466	258.0639	265.8985	345.8071	483.062
ILMN_1777663	175.2323	140.2071	161.2658	988.934	1629.32
ILMN_1777665	134.0853	119.6358	124.8948	122.4847	121.4867
ILMN_1777668	112.9117	122.853	131.3739	129.726	122.3623
ILMN_1777671	104.509	135.9726	133.3949	135.099	113.1286
ILMN_1777680	130.3015	109.5613	111.0435	116.5844	118.1834
ILMN_1777683	124.3095	117.625	124.2864	112.6548	119.135
ILMN_1777684	117.625	121.7738	125.3846	121.4676	122.1527
ILMN_1777687	140.9918	143.1238	148.2767	193.3254	144.8185
ILMN_1777691	151.8241	131.9823	124.0938	187.5907	147.7349
ILMN_1777706	123.8852	120.5067	120.3919	124.261	146.8886
ILMN_1777708	135.8656	175.4412	168.5183	144.2862	151.2256
ILMN_1777720	3809.969	3160.666	1829.693	115.4172	110.5023
ILMN_1777721	164.5076	156.7045	137.7303	3224.321	4450.926
ILMN_1777725	112.1944	114.7323	115.0221	116.3519	119.933
ILMN_1777726	191.0358	243.9889	206.6795	195.2079	220.0969
ILMN_1777727	126.2698	133.2454	128.0853	121.9965	136.5151
ILMN_1777740	275.6889	285.6338	531.472	500.0995	325.9664
ILMN_1777745	297.6083	279.8197	259.0808	280.5319	282.2308
ILMN_1777758	129.8678	129.9534	181.9202	122.0517	115.4566
ILMN_1777759	148.551	133.7852	124.6861	1015.798	1477.43
ILMN_1777765	2914.785	3060.732	4056.925	3792.707	2860.38
ILMN_1777792	409.5362	416.9487	269.0638	112.7307	103.3626
ILMN_1777794	280.8252	272.4389	276.4471	1934.334	1590.81
ILMN_1777797	112.0743	108.8782	104.4589	111.5745	116.9287
ILMN_1777805	4596.73	4150.095	3037.176	137.0937	143.4167
ILMN_1777811	161.2738	239.1857	163.3194	379.5327	380.4638
ILMN_1777845	606.6879	599.5543	685.5026	124.1701	121.7227
ILMN_1777847	111.5711	117.4724	124.3125	129.1676	129.8013
ILMN_1777853	417.2293	518.2068	362.8011	123.5284	120.1502
ILMN_1777854	120.5877	119.5005	122.0984	128.5401	113.9475
ILMN_1777881	124.9577	111.6825	120.7119	1818.906	1665.222
ILMN_1777895	118.5523	107.998	115.7608	298.731	453.2839
ILMN_1777901	120.4025	119.5885	119.0668	111.7393	118.8374
ILMN_1777903	120.325	126.4526	125.8759	129.6957	134.1348
ILMN_1777905	3439.24	2352.059	1991.409	134.3052	133.635
ILMN_1777906	1409.251	1392.44	974.261	3451.293	3751.287
ILMN_1777913	206.3257	170.7168	129.2514	149.0209	182.6528
ILMN_1777915	664.7972	586.3838	924.5656	515.1287	642.8957
ILMN_1777917	136.6614	166.1166	134.4036	136.5233	118.8987
ILMN_1777934	122.8566	119.4153	109.8979	128.121	131.1236
ILMN_1777949	117.0302	107.3277	125.7398	126.1156	119.9367
ILMN_1777963	120.0708	135.0729	136.5597	130.1001	114.4048
ILMN_1777971	139.6956	139.8184	165.3576	149.5111	136.7794
ILMN_1777976	740.2209	741.6402	993.8223	812.3026	539.7968
ILMN_1777977	128.7794	136.2032	126.1683	123.3049	121.2611
ILMN_1777980	140.2702	122.6479	155.8765	132.5336	155.2287
ILMN_1777982	145.0254	118.9995	129.3773	506.6929	347.1684
ILMN_1777990	141.1481	139.5058	130.5424	151.5837	154.3128
ILMN_1777998	155.2287	164.8973	155.3455	138.6371	156.5253
ILMN_1778010	114.5042	116.154	104.7555	130.0918	130.1584
ILMN_1778013	2080.82	2156.437	1071.469	408.164	418.1044
ILMN_1778032	310.3601	332.8196	324.4254	1168.399	1296.771
ILMN_1778039	114.7457	134.9413	145.1364	133.4551	123.3192
ILMN_1778053	284.1275	292.9972	253.6542	179.6976	192.4114
ILMN_1778059	112.1876	106.5674	111.6551	101.9879	112.5333
ILMN_1778064	249.9328	235.0503	234.7734	237.8063	200.3271
ILMN_1778077	196.9343	203.0845	173.0176	111.6015	121.6321
ILMN_1778078	125.6751	130.3455	122.0888	713.9407	699.4579
ILMN_1778079	249.596	278.1369	204.788	152.3704	152.4644
ILMN_1778087	107.9531	109.5252	139.7073	129.1622	141.1956
ILMN_1778098	146.0187	147.2929	151.6568	135.7749	121.0259
ILMN_1778104	711.1777	756.5017	359.5832	450.0671	668.7615
ILMN_1778105	112.3775	115.0887	112.3756	120.517	115.8638
ILMN_1778111	133.7344	129.6184	168.6588	137.5474	166.1166
ILMN_1778121	373.4587	606.1308	522.4237	422.864	417.1691
ILMN_1778128	135.9616	130.9546	133.0448	123.1523	119.469
ILMN_1778132	118.425	114.5343	139.4694	107.9848	111.899
ILMN_1778134	130.0221	121.2484	126.5739	131.4455	125.0103
ILMN_1778136	121.8503	118.0913	132.1688	124.9663	116.6997
ILMN_1778139	156.9787	175.7922	158.9773	116.9542	125.8577
ILMN_1778143	105.8958	112.6754	106.6691	110.8595	116.6566
ILMN_1778144	222.5801	205.1189	299.0011	269.2771	274.6924
ILMN_1778152	180.1599	157.3126	143.8322	153.395	190.9747
ILMN_1778154	115.5754	107.1555	106.4292	139.465	134.8343
ILMN_1778161	265.7478	265.3262	170.1833	192.2312	207.9979
ILMN_1778168	196.0394	161.2738	162.405	186.2094	198.4265
ILMN_1778173	676.5934	603.6386	466.0052	412.136	509.186
ILMN_1778177	268.8913	270.0743	499.2154	2305.284	2363.405
ILMN_1778187	120.6111	136.1985	125.0323	366.8203	395.0639
ILMN_1778188	137.1027	131.423	182.879	116.4965	105.1168
ILMN_1778202	227.9981	206.2048	255.1555	228.3121	228.118
ILMN_1778203	199.7626	167.1338	196.8293	196.9343	194.0313
ILMN_1778211	108.7586	119.1603	133.791	115.3099	115.7973
ILMN_1778213	155.3836	146.8964	132.6442	191.2281	202.7901
ILMN_1778220	115.8672	110.4323	113.2867	110.7945	112.8612
ILMN_1778223	741.6402	1056.192	474.5868	122.322	128.245
ILMN_1778226	1023.727	1378.923	1664.355	1255.944	1318.974
ILMN_1778236	1331.887	1053.536	1118.063	696.3747	801.2909
ILMN_1778237	105.5991	114.781	170.8209	167.3465	169.4777
ILMN_1778238	104.186	111.3265	107.3638	1115.915	835.689
ILMN_1778240	291.588	341.1794	296.7746	281.7462	282.864
ILMN_1778242	1503.436	1242.381	1356.491	1609.195	1491.208
ILMN_1778253	385.3593	358.3996	247.6131	126.6867	128.2369
ILMN_1778255	536.7303	572.1995	1017.988	904.8463	435.5511
ILMN_1778267	141.3184	139.8251	186.7876	115.7299	122.7607
ILMN_1778277	138.1382	168.791	122.1442	113.9436	98.11959
ILMN_1778291	134.4451	125.9624	131.4716	113.7897	120.8702
ILMN_1778294	285.8259	265.562	273.8049	145.5529	157.2854
ILMN_1778301	180.6501	147.4088	148.9777	309.5042	222.8968
ILMN_1778304	114.1857	114.2357	121.0168	130.0653	110.5259
ILMN_1778308	134.6326	116.8465	110.8038	111.3457	117.0538
ILMN_1778316	539.6122	476.7954	478.3393	149.3735	142.334
ILMN_1778318	158.9039	201.4894	204.3412	159.2442	170.4751
ILMN_1778319	1610.979	1788.498	2162.912	1828.762	1479.476
ILMN_1778320	151.3174	124.1701	131.552	153.9462	130.3207
ILMN_1778321	195.5939	218.1255	262.443	493.3037	369.9738
ILMN_1778327	120.8107	109.3936	120.1337	118.2768	131.6144
ILMN_1778333	443.7326	619.6116	1088.245	321.7823	192.0958
ILMN_1778337	144.2584	119.8658	121.0797	121.9446	130.5318
ILMN_1778338	126.3649	131.1039	126.3464	125.4283	138.7462
ILMN_1778347	133.1532	118.4718	121.0179	1329.024	1408.296
ILMN_1778352	125.0277	123.9753	116.1634	120.114	129.3639
ILMN_1778357	128.2523	132.4335	143.556	137.3158	119.8902
ILMN_1778358	135.9394	136.6566	132.2335	139.2301	127.9803
ILMN_1778360	155.1095	148.8972	253.6233	1189.989	1031.768
ILMN_1778371	496.9682	409.7865	243.8637	306.7303	371.9614
ILMN_1778373	115.9509	112.6548	126.0209	125.5592	144.2712
ILMN_1778374	6489.526	6855.936	10207.97	8022.174	7552.103
ILMN_1778377	281.9397	231.7227	300.4958	312.7258	332.4252
ILMN_1778381	143.4362	127.8559	113.1983	1551.022	1063.012
ILMN_1778382	160.4346	135.5925	131.7143	128.4419	125.2596
ILMN_1778401	612.2387	570.9434	1139.808	861.9403	550.1381
ILMN_1778408	139.6228	134.7909	129.0698	129.7477	149.9095
ILMN_1778425	125.9391	132.1358	120.821	132.5159	141.2771
ILMN_1778438	570.0464	652.7041	574.4005	132.2236	126.368
ILMN_1778444	931.3798	1075.449	758.2904	925.303	995.7723
ILMN_1778456	132.2381	125.2443	116.101	161.0836	131.7091
ILMN_1778457	126.0761	117.8168	114.5912	4015.915	4530.685
ILMN_1778464	218.1699	156.7753	133.0536	151.052	118.0316
ILMN_1778478	319.5491	311.767	504.7108	367.5843	332.3847
ILMN_1778487	142.7791	135.6926	131.5024	121.3704	134.3179
ILMN_1778488	161.2912	196.3682	158.8606	411.016	514.8431
ILMN_1778505	140.56	141.0623	115.9475	161.6856	178.82
ILMN_1778507	137.1471	164.8167	128.4634	134.3537	124.435
ILMN_1778510	215.0172	199.7838	223.0358	242.3972	158.734
ILMN_1778521	132.9549	125.0043	116.1575	123.7647	142.1292
ILMN_1778523	150.0704	171.6658	152.1641	119.4864	158.0434
ILMN_1778536	117.0327	134.1271	134.0501	132.4559	125.5469
ILMN_1778543	111.6064	111.6663	118.6617	496.9682	424.0924
ILMN_1778553	116.2142	119.2479	114.8224	122.3097	120.5245
ILMN_1778557	222.1093	247.4907	256.5699	218.1053	279.7456
ILMN_1778560	380.0606	354.7741	282.592	241.1319	266.6823
ILMN_1778561	892.6992	957.6807	883.6314	863.2386	1094.78
ILMN_1778562	116.0138	121.5443	108.6492	142.9644	125.7655
ILMN_1778575	118.6	113.749	106.4737	116.289	127.047
ILMN_1778587	364.0781	330.624	299.6397	692.8594	852.9887
ILMN_1778595	155.0087	130.8074	126.4946	136.5009	139.7324
ILMN_1778599	128.9998	141.3602	133.1227	137.1796	165.9716
ILMN_1778611	410.3574	372.5831	363.3346	375.4443	431.5279
ILMN_1778617	158.5665	110.41	116.9163	208.8385	271.3268
ILMN_1778623	111.3265	116.7356	117.3126	100.534	109.742
ILMN_1778625	140.0544	126.0552	116.8216	124.9604	129.5138
ILMN_1778629	535.7141	357.1345	297.0615	167.2022	165.8506
ILMN_1778631	116.5297	114.9426	118.1138	107.7228	101.3395
ILMN_1778632	120.9299	131.6322	126.0121	121.708	141.5582
ILMN_1778641	301.9683	170.5254	119.2516	159.6277	133.6801
ILMN_1778650	124.182	121.7699	173.1573	131.0905	116.2129
ILMN_1778657	111.4912	132.2419	119.2421	124.0843	133.237
ILMN_1778660	123.5425	103.6081	124.0658	108.3864	118.1532
ILMN_1778662	159.3436	188.8344	202.4282	152.3427	214.2317
ILMN_1778668	121.2329	119.4466	122.5897	13746.07	14274.1
ILMN_1778673	1783.934	1877.203	1095.163	1203.061	1651.106
ILMN_1778677	137.8945	134.1608	155.6428	252.81	262.8619
ILMN_1778681	111.792	102.4574	108.8589	118.6574	119.0376
ILMN_1778683	1190.351	839.4616	601.1139	162.5079	162.825
ILMN_1778684	645.3538	725.696	921.6364	902.4947	805.7725
ILMN_1778687	107.458	111.1721	124.7663	125.1266	114.9324
ILMN_1778691	1985.962	2182.803	1482.05	205.8412	237.3344
ILMN_1778709	115.924	120.5586	116.6955	151.2256	157.1155
ILMN_1778717	138.9484	134.3423	126.3916	184.9078	140.1775
ILMN_1778723	134.3452	127.2578	113.9978	125.2028	123.444
ILMN_1778726	117.3644	118.8021	123.5114	134.9847	124.8221
ILMN_1778730	4733.388	5589.473	5655.599	118.1007	117.0579
ILMN_1778734	121.7219	150.9164	160.8507	556.9798	584.8813
ILMN_1778743	1185.24	1221.849	1010.831	143.071	133.7798
ILMN_1778755	506.1373	585.8174	610.6963	394.0082	426.9986
ILMN_1778756	967.8845	779.9684	929.8515	122.6777	109.3357
ILMN_1778764	596.942	364.6446	264.742	303.2603	496.8553
ILMN_1778767	120.6136	122.969	146.5158	119.8307	122.7892
ILMN_1778787	134.2962	131.6018	132.6791	146.5515	121.5631
ILMN_1778788	166.8592	173.4625	137.1417	144.6058	172.8514
ILMN_1778796	770.8049	679.2664	363.4711	417.0273	496.3775
ILMN_1778801	111.5891	122.3725	138.5577	120.5984	121.9055
ILMN_1778803	5116.219	4169.236	1845.847	914.8335	1402.801
ILMN_1778831	1044.484	1234.071	1597.723	130.1475	121.8277
ILMN_1778836	2860.38	2132.55	1311.485	779.1641	1161.06
ILMN_1778843	125.1517	132.3678	117.5525	214.0891	146.2263
ILMN_1778844	121.9738	112.9293	115.3796	123.6915	126.3728
ILMN_1778845	228.5957	193.8273	265.7478	211.9203	189.2816
ILMN_1778852	125.6803	118.7169	124.0768	122.4388	136.1188
ILMN_1778876	136.5942	110.9948	120.8845	127.3995	142.4861
ILMN_1778886	162.541	146.684	198.388	132.971	164.149
ILMN_1778890	129.7627	114.6305	118.8384	397.8328	426.4449
ILMN_1778897	251.3677	290.5703	324.0281	158.3736	144.558
ILMN_1778917	1748.145	1787.505	942.4744	1073.959	1608.671
ILMN_1778924	113.1205	129.5294	119.0087	109.4106	114.1599
ILMN_1778928	237.5515	235.8927	216.8409	125.8681	134.8075
ILMN_1778929	129.0197	118.5116	151.2066	119.0965	124.8569
ILMN_1778940	111.9942	133.9954	122.2059	133.3887	130.705
ILMN_1778941	114.8237	100.898	103.0297	110.6151	118.5107
ILMN_1778951	197.647	163.0908	198.9108	192.3809	220.4334
ILMN_1778956	589.3318	742.3292	879.8212	115.3988	116.864
ILMN_1778957	114.7574	118.2151	115.5159	139.0994	144.0383
ILMN_1778964	124.1052	120.424	112.8008	108.3496	117.7762
ILMN_1778974	7504.19	7478.787	5188.757	122.2825	121.8471
ILMN_1778977	833.8473	857.7545	1754.816	136.7578	126.154
ILMN_1778980	1264.314	1407.255	1031.129	144.2683	126.1121
ILMN_1778985	5352.433	6954.38	7882.096	240.5937	189.0693
ILMN_1778991	126.0914	115.1986	126.3728	314.7508	325.0823
ILMN_1778992	114.8936	111.2925	117.0963	146.2263	171.293
ILMN_1779010	134.1535	130.5253	129.4609	260.1097	304.5418
ILMN_1779014	117.7977	111.7438	117.1775	808.455	999.853
ILMN_1779015	131.6626	131.8737	136.1492	218.2597	173.3336
ILMN_1779017	122.4811	131.265	145.519	144.587	129.7844
ILMN_1779031	123.5205	122.1471	131.0854	121.5999	121.2024
ILMN_1779032	125.9615	128.9554	136.412	233.5417	176.79
ILMN_1779034	130.8949	124.6673	122.2736	470.3629	374.2674
ILMN_1779037	144.7448	120.5196	156.9081	126.0618	125.6785
ILMN_1779040	152.9499	113.9763	135.2557	256.94	210.4606
ILMN_1779043	297.8972	308.5553	380.5251	273.5509	339.096
ILMN_1779047	123.6263	116.2818	117.4986	112.0575	112.5085
ILMN_1779051	118.0528	107.3502	125.8154	130.244	147.5065
ILMN_1779061	124.9922	113.4495	162.8764	160.5525	189.2402
ILMN_1779064	132.5015	132.5146	132.7485	239.0973	205.1189
ILMN_1779070	127.426	123.7371	148.3449	128.7264	123.2288
ILMN_1779071	1467.581	1164.722	434.9416	347.0731	508.789
