	GSM1287710	GSM1287711	GSM1287712	GSM1287713	GSM1287714	GSM1287715	GSM1287716	GSM1287717	GSM1287719	GSM1287721	GSM1287723	GSM1287724	GSM1287726	GSM1287728	GSM1287730	GSM1287731	GSM1287732	GSM1287733
hsa-miR-25	-0.192338727	-0.211748239	0.031765902	-0.235043371	0.626587311	0.109825597	-0.583971715	-0.155517866	-0.284065772	0.104406198	-0.04664923	0.500836175	0.504178093	0.197710746	-0.001895029	0.617611985	0.286226583	0.497452363
hsa-miR-26a	3.988100261	3.750512103	NA	4.719717157	4.106816571	NA	NA	4.714774184	4.656752693	NA	4.704467137	4.234694227	4.549993384	4.278471121	3.832546858	3.900282095	4.443305685	4.036412483
hsa-miR-26a-2*	NA	-8.864086189	NA	NA	-8.688352989	NA	NA	NA	-8.460508737	NA	-8.500434003	-7.895693624	NA	NA	-8.962916092	-8.744586349	NA	NA
hsa-miR-26b	1.449768913	1.796557425	1.197173459	1.424480466	0.648063991	1.275780271	1.376748738	1.833492001	1.77386247	1.297425935	1.269882806	1.357415662	1.112565027	0.857750279	1.725983708	1.572587064	1.050009464	1.162864153
hsa-miR-27a	3.393233855	3.796190449	3.805799762	NA	3.906437549	3.711121975	NA	3.910861023	3.847700545	NA	3.772785183	3.294103095	3.521240578	3.914063365	3.81967087	3.45472465	NA	3.213417343
hsa-miR-27b	NA	3.361256405	NA	2.904015475	2.536298984	NA	NA	3.647243134	3.377698454	NA	2.499247845	2.888438121	NA	NA	2.438442168	2.339355443	2.624284107	NA
hsa-miR-28-5p	-0.593752785	-0.16978523	-0.67092619	-0.619770568	-0.814609507	-0.81032429	-0.209533029	-0.464111158	-0.359914447	-0.502970537	-1.275500936	-0.988035826	-1.230954299	-0.783268621	-0.872696678	-0.830405308	-0.749282819	-1.05657144
hsa-miR-296-5p	-5.19868628	-5.205934649	-3.80045109	-4.014552409	-4.801407797	-4.725866241	-4.028228528	-4.038350798	-5.968216956	-4.297266299	-2.838382104	-4.573956999	-5.229733791	-4.515487046	-3.473823314	-4.834909005	-5.275063628	-3.739365847
hsa-miR-298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-299-3p	-8.553949346	-9.465022732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-299-5p	-4.857416215	-4.543725816	-3.816754081	-4.975787452	-6.456329347	-4.698128544	-3.079626175	-5.774351668	-2.972486584	-6.642447365	-6.500123472	-6.738133767	-5.962414108	-6.424558823	-5.43323298	-6.854794129	-6.783483276	-4.521200723
hsa-miR-29a	-0.32492488	0.000663363	0.391716581	0.221670774	-0.227234916	0.541077192	-0.341219031	0.429203119	-0.10810717	0.187517956	-0.063861831	-0.242316722	0.107260646	-0.026633221	0.159470476	0.205864337	0.170105556	-0.065661482
hsa-miR-29b	-1.666331469	-0.830084248	-1.146814816	-0.586441679	-1.648734995	-1.207444534	-1.221541301	-0.700668431	-0.879649975	-1.326098233	-1.064750725	-1.306155658	-1.816683939	-1.338073326	-0.933910672	-1.146707782	-1.47720866	-3.847129559
hsa-miR-29b-2*	-4.560738423	-4.606661059	-4.327603819	-4.052002193	-4.835742202	-3.604983656	-4.530489248	-4.460987278	-4.951116829	-4.848331561	-4.36450665	-3.561848199	-3.292913069	-4.594088397	-4.787156469	-4.626586257	-5.214784296	-5.163995226
hsa-miR-29c	0.358655768	0.759480525	1.023962658	1.073964161	0.275047866	0.990531045	0.113492571	0.930867358	0.76099641	0.579833639	0.030895261	0.319289149	0.738727313	0.53350293	0.804186032	0.377299927	0.725747839	0.394735038
hsa-miR-301a	-1.617921151	-1.00804545	-0.790034074	-1.812231902	-2.480868045	-2.133804466	-1.672685746	-0.785585485	-1.266315538	-2.313018199	-0.92596361	-1.569192912	-2.235938291	-0.670605196	-1.261289418	-1.84598896	-1.900707154	-2.6304791
