	ID	miRNA_ID	SPOT_ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-570	hsa-miR-570	hsa-miR-570		-6.6290764539375	-6.6290764539375	-38.037068769756	2.4418144275886897e-18	1.2715863811593903e-17	32.341530601090604
hsa-miR-27a	hsa-miR-27a	hsa-miR-27a		3.6686678744285697	3.6686678744285697	47.2829650877599	2.9403481909355897e-18	1.50284463092264e-17	32.113942204499104
hsa-miR-660	hsa-miR-660	hsa-miR-660		-4.89687012866667	-4.89687012866667	-31.4605853311447	3.06839726652938e-18	1.5355079676036403e-17	32.0002609163606
hsa-miR-221	hsa-miR-221	hsa-miR-221		2.5600647216666697	2.5600647216666697	31.4356521350531	3.1155234125291297e-18	1.5355079676036403e-17	31.9848363570891
hsa-miR-200a	hsa-miR-200a	hsa-miR-200a		-6.83687001627778	-6.83687001627778	-31.2440373046926	3.50406024573406e-18	1.69670285582912e-17	31.8658736421337
hsa-miR-532-5p	hsa-miR-532-5p	hsa-miR-532-5p		-3.7480240055	-3.7480240055	-30.853706895461396	4.4615175372990196e-18	2.12306696602505e-17	31.621196633841702
hsa-miR-320a	hsa-miR-320a	hsa-miR-320a		2.12826445911111	2.12826445911111	30.7014277231419	4.90634332565131e-18	2.2951707760673896e-17	31.5248763939872
hsa-miR-30e	hsa-miR-30e	hsa-miR-30e		1.9453316723888898	1.9453316723888898	30.5404041350768	5.4277276908471394e-18	2.4591076017602002e-17	31.422489810773897
hsa-miR-195	hsa-miR-195	hsa-miR-195		-3.7558926606111096	-3.7558926606111096	-30.538279370492898	5.434984192296099e-18	2.4591076017602002e-17	31.4211350815353
hsa-miR-132	hsa-miR-132	hsa-miR-132		-4.6040425415625	-4.6040425415625	-35.6608985698973	7.48902890608063e-18	3.28090790171152e-17	31.229409685974698
hsa-miR-425*	hsa-miR-425*	hsa-miR-425*		-2.1582663223888896	-2.1582663223888896	-30.1583421735853	6.91163283989882e-18	3.07679139324528e-17	31.1773240946281
hsa-miR-26a	hsa-miR-26a	hsa-miR-26a		4.27977471135714	4.27977471135714	43.1148356838766	1.2263817856398402e-17	5.20740573594765e-17	30.7624809257727
hsa-miR-21	hsa-miR-21	hsa-miR-21		4.36795850016667	4.36795850016667	29.2890917688486	1.2112133020115e-17	5.20740573594765e-17	30.607494088457
hsa-miR-210	hsa-miR-210	hsa-miR-210		-3.905583023875	-3.905583023875	-33.2480020182233	2.5241691181333604e-17	1.0245157008894202e-16	30.0146508513964
hsa-miR-9	hsa-miR-9	hsa-miR-9		-6.17714840217647	-6.17714840217647	-30.5248374147752	2.43022729010512e-17	1.0162768667712299e-16	29.9816140080488
hsa-let-7a	hsa-let-7a	hsa-let-7a		3.91097581594445	3.9109758159444397	28.219926328909196	2.46927203438481e-17	1.0171926589406099e-16	29.882550356637
