#  The average normalized Cp of the samples in a control or test group.				
# reports the average normalized Cp of the samples in control or test group.

ID_REF	AVERAGE SAMPLE 1-4	AVERAGE SAMPLE 5-9	AVERAGE SAMPLE 10-13	AVERAGE SAMPLE 14-18
design_target_name	Healthy-control	sCAD	STEMI d0	STEMI d5
hsa-miR-182	-5.233245233	-5.748322088	-6.394645885	-6.072612701
hsa-miR-501-5p	-7.112536993	-6.52673411	-5.2488729	-5.424196154
hsa-miR-9	-6.150613683	-5.465707729	-6.627617684	-6.40715329
hsa-miR-545	-5.793211625	-6.37496475	-6.389858023	-6.645032194
hsa-miR-487b	-5.237502224	-6.239784516	-7.337627587	-6.98447581
hsa-miR-135a	-7.158737193	-7.25637102	-7.075050439	-6.683324356
hsa-miR-200b	-7.863376439	-7.863355022	-7.535254032	-6.937196359
hsa-miR-151-3p	-0.485378962	-0.815931801	-1.285622279	-1.415151418
hsa-miR-210	-4.176485272	-3.648108414	-3.840122711	-4.001389613
hsa-miR-132	-4.439343303	-4.624832629	-4.622629629	-4.70801761
hsa-miR-193b	-6.064480493	-6.709184227	-6.90025605	-5.352911246
hsa-miR-570	-6.971646276	-6.700978515	-6.352499136	-6.587274766
hsa-miR-20b*	-7.636759042	-7.310694147	-6.143594074	-6.649441065
hsa-miR-576-5p	-7.801301486	-7.632639258	-7.457224025	-7.418563844
hsa-miR-27a	3.665074689	3.844030273	3.529376286	3.600469057
hsa-miR-329	-4.673797842	-4.85830081	-6.721629984	-6.126003764
hsa-miR-369-5p	-5.455724687	-5.548524038	-6.881667883	-7.135161331
hsa-miR-493	-6.609432926	-5.995899651	-8.027919289	-7.350786006
hsa-miR-374b*	-7.610461402	-7.442532069	-7.13692951	-7.889069175
hsa-miR-362-5p	-8.346294111	-7.89053205	-7.498208402	-7.143321321
hsa-miR-26a	4.152776507	4.49278115	4.496384916	4.098203648
hsa-miR-33a	0.694829332	0.772723433	0.153732519	-0.141467275
hsa-miR-574-3p	-2.308501872	-2.055343354	-1.804476178	-1.687776404
hsa-miR-409-3p	-1.700445252	-2.570732303	-3.796893442	-3.150116632
hsa-miR-379	-5.605509944	-5.357242293	-6.597500999	-6.320137971
hsa-miR-654-5p	-6.855541433	-6.21723363	-6.782001502	-6.008519052
hsa-miR-323-3p	-6.311656833	-5.845726624	-7.364960625	-7.605748256
hsa-miR-95	-7.193298076	-7.162104308	-7.29740705	-6.609298303
hsa-miR-124	-8.008172583	-6.570454589	-6.474974943	-6.854547422
