SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-15b	0	37732.5	2908.91	1
hsa-miR-15b*	0	12.3045	1.89305	1
hsa-miR-16	0	37632.2	3197.39	1
hsa-miR-16-1*	0	-0.0911302	1.55147	0
hsa-miR-16-2*	0	64.1112	6.28615	1
hsa-miR-17	0	10540.3	879.778	1
hsa-miR-17*	0	363.288	32.4292	1
hsa-miR-181a	0	2481.24	202.474	1
hsa-miR-181a*	0	111.447	8.57972	1
hsa-miR-181a-2*	0	94.0933	7.16793	1
hsa-miR-181b	0	189.242	14.764	1
hsa-miR-181c	0	147.524	11.6952	1
hsa-miR-181c*	0	94.7556	6.58816	1
hsa-miR-181d	0	508.94	37.7834	1
hsa-miR-182	0	3.14045	1.5704	1
hsa-miR-182*	0	-0.532038	1.54914	0
hsa-miR-183	0	2.70323	1.56855	0
hsa-miR-183*	0	-2.11623	1.54732	0
hsa-miR-184	0	-1.104	2.18941	0
hsa-miR-185	0	6547.52	534.958	1
hsa-miR-185*	0	-0.00152592	1.55189	0
hsa-miR-186	0	409.619	31.7589	1
hsa-miR-186*	0	5.30391	1.59201	1
hsa-miR-187	0	-2.10848	1.54896	0
hsa-miR-187*	0	-0.774763	1.54926	0
hsa-miR-188-3p	0	-0.997912	1.54901	0
hsa-miR-188-5p	0	7.30847	2.25866	0
hsa-miR-18a	0	1183.94	96.7169	1
hsa-miR-18a*	0	-0.273843	1.54919	0
hsa-miR-18b	0	439.91	38.7061	1
hsa-miR-18b*	0	0.533837	1.55031	0
hsa-miR-190	0	3.17029	2.20569	0
hsa-miR-190b	0	0.463665	1.55123	0
hsa-miR-191	0	14.9995	1.93119	1
hsa-miR-191*	0	8.17953	1.60374	0
hsa-miR-192	0	99.2235	8.41413	1
hsa-miR-192*	0	-0.297876	2.19459	0
hsa-miR-193a-3p	0	2.12043	2.21305	0
hsa-miR-193a-5p	0	3.40347	2.22354	0
hsa-miR-193b	0	-1.43776	2.18932	0
hsa-miR-193b*	0	-1.57301	1.54746	0
hsa-miR-194	0	61.0697	5.61232	1
hsa-miR-194*	0	0.148841	1.55366	0
hsa-miR-195	0	286.122	25.1623	1
hsa-miR-195*	0	0.799445	1.54938	0
hsa-miR-196a	0	3.67065	2.20693	0
hsa-miR-196a*	0	-0.801236	1.54763	0
hsa-miR-196b	0	89.5451	7.89598	1
hsa-miR-197	0	3666.63	287.609	1
hsa-miR-198	0	-2.2898	2.18779	0
hsa-miR-199a-5p	0	4409.79	405.933	1
hsa-miR-199b-3p	0	23144.3	1757.38	1
hsa-miR-199b-5p	0	29.6298	3.4947	1
